date,region,store_id,store_name,product_category,product_name,customer_segment,units_sold,unit_price,discount_rate,sales_amount,gross_profit,stock_on_hand,stockout_flag,campaign_flag,weather
2025-01-05,関東,S001,東京駅前店,飲料,炭酸水,個人,180,120,0.0,21600,7560,320,0,0,晴れ
2025-01-12,関東,S002,新宿西口店,家電,ノートPC,個人,24,98000,0.05,2234400,357504,18,0,1,晴れ
2025-02-03,関西,S003,梅田中央店,菓子,チョコレート,個人,260,220,0.1,51480,18018,210,0,1,曇り
2025-02-08,中部,S004,名古屋栄店,家電,空気清浄機,法人,42,28000,0.15,999600,249900,35,0,1,晴れ
2025-03-01,九州,S005,博多駅前店,アイス,バニラアイス,個人,410,180,0.0,73800,25830,95,0,0,晴れ
2025-03-10,関東,S001,東京駅前店,食品,コーヒー豆,個人,140,980,0.2,109760,30733,60,0,1,雨
2025-04-05,関西,S003,梅田中央店,冷凍食品,冷凍パスタ,個人,300,420,0.05,119700,35910,80,0,0,曇り
2025-04-18,北海道,S006,札幌大通店,季節家電,ヒーター,個人,18,19800,0.1,320760,80190,12,0,1,雪
2025-05-02,関東,S002,新宿西口店,飲料,ミネラルウォーター,個人,520,100,0.0,52000,18200,0,1,1,晴れ
2025-05-11,九州,S005,博多駅前店,季節家電,扇風機,個人,65,6800,0.1,397800,99450,22,0,1,晴れ
2025-06-07,中部,S004,名古屋栄店,飲料,スポーツドリンク,個人,610,150,0.05,86925,30424,140,0,1,晴れ
2025-06-21,関西,S003,梅田中央店,日用品,日焼け止め,個人,160,980,0.15,133280,53312,45,0,1,晴れ
