month,customer_id,company_name,industry,plan_type,region,active_users,login_count,feature_ai_usage,api_calls,tickets_opened,avg_resolution_hours,csat,mrr,renewal_due_in_days,account_manager,churn_risk_label,churn_flag
2025-01,C001,東都製作所,製造,Enterprise,関東,420,6800,1250,340000,3,4.5,4.6,1800000,120,田中,Low,0
2025-01,C002,関西リテール,小売,Standard,関西,85,920,120,24000,11,18.0,3.2,280000,30,佐藤,High,0
2025-01,C003,NextIT,IT,Enterprise,関東,510,8900,2420,880000,2,3.0,4.8,2400000,210,鈴木,Low,0
2025-01,C004,中部メディカル,医療,Basic,中部,22,140,8,0,6,25.0,2.9,90000,15,高橋,High,1
2025-02,C005,未来学園,教育,Standard,九州,64,540,60,12000,7,12.0,3.6,220000,45,田中,Medium,0
2025-02,C006,第一ファイナンス,金融,Enterprise,関東,300,5200,980,620000,4,5.0,4.4,1500000,75,佐藤,Low,0
2025-02,C007,西日本ロジ,物流,Standard,関西,48,260,25,18000,9,20.0,3.1,260000,20,鈴木,High,0
2025-03,C008,北都工業,製造,Basic,北海道,18,110,5,0,5,22.0,3.0,80000,10,高橋,High,1
2025-03,C009,MetroMedia,メディア,Standard,関東,92,1300,210,56000,3,7.0,4.1,340000,95,田中,Low,0
2025-04,C010,南九州庁舎,公共,Basic,九州,35,260,12,4000,8,16.0,3.4,120000,25,佐藤,Medium,0
2025-04,C011,中京ストア,小売,Enterprise,中部,260,4100,780,310000,5,6.0,4.2,1320000,60,鈴木,Low,0
2025-05,C012,首都建設,建設,Standard,関東,40,210,14,7000,10,28.0,2.8,240000,12,高橋,High,1
